fullVisitorId,channelGrouping,hits_time,geoNetwork_country,geoNetwork_city,totals_totalTransactionRevenue,totals_transactions,totals_timeOnSite,totals_pageviews,date,visitId,hits_type,hits_product_productRefundAmount,hits_product_productQuantity,hits_product_productPrice,hits_product_productRevenue,hits_product_productSKU,hits_product_v2ProductName,hits_product_v2ProductCategory,hits_product_productVariant,hits_item_currencyCode,hits_item_itemQuantity,hits_item_itemRevenue,hits_transaction_transactionRevenue,hits_transaction_transactionId,hits_page_pageTitle,hits_page_searchKeyword,hits_page_pagePathLevel1
69563023975860043,Referral,403518,United States,San Francisco,40960000,1,404,18,20161020,1477004067,PAGE,,2,15190000,30880000,GGOEGDHC074099,Google 17oz Stainless Steel Sport Bottle,Drinkware,Single Option Only,USD,,,40960000,ORD201610202073,Checkout Confirmation,,/ordercompleted.html
69563023975860043,Referral,403518,United States,San Francisco,40960000,1,404,18,20161020,1477004067,PAGE,,2,4790000,10080000,GGOEGOLC014299,Google Metallic Notebook Set,Office,Single Option Only,USD,,,40960000,ORD201610202073,Checkout Confirmation,,/ordercompleted.html
1467141040071374986,Direct,691386,United States,San Jose,40960000,1,1036,33,20161130,1480537007,PAGE,,1,2990000,5240000,GGOEADHH055999,22 oz Android Bottle,Bottles,Single Option Only,USD,,,40960000,ORD201611303287,Checkout Confirmation,,/ordercompleted.html
1467141040071374986,Direct,691386,United States,San Jose,40960000,1,1036,33,20161130,1480537007,PAGE,,1,2990000,5240000,GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,Office,Single Option Only,USD,,,40960000,ORD201611303287,Checkout Confirmation,,/ordercompleted.html
1467141040071374986,Direct,691386,United States,San Jose,40960000,1,1036,33,20161130,1480537007,PAGE,,1,3990000,6240000,GGOEAKDH019899,Windup Android,Lifestyle,Single Option Only,USD,,,40960000,ORD201611303287,Checkout Confirmation,,/ordercompleted.html
1467141040071374986,Direct,691386,United States,San Jose,40960000,1,1036,33,20161130,1480537007,PAGE,,1,21990000,24240000,GGOEAHPJ004314,Android Stretch Fit Hat M/L,Headgear, M/L,USD,,,40960000,ORD201611303287,Checkout Confirmation,,/ordercompleted.html
2542857131677531788,Referral,401120,United States,Santa Clara,450560000,2,805,44,20161130,1480529795,PAGE,,3,79000000,240500000,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,Nest-USA,Single Option Only,USD,,,393000000,ORD201611303333,Checkout Confirmation,,/ordercompleted.html
2542857131677531788,Referral,698637,United States,Santa Clara,450560000,2,805,44,20161130,1480529795,PAGE,,1,19990000,21740000,GGOEGDHB072199,Google Accent Insulated Stainless Steel Bottle,Drinkware,Single Option Only,USD,,,64560000,ORD201611303333,Checkout Confirmation,,/ordercompleted.html
2542857131677531788,Referral,698637,United States,Santa Clara,450560000,2,805,44,20161130,1480529795,PAGE,,1,7190000,8940000,GGOEGDWC020199,Engraved Ceramic Google Mug,Drinkware,Single Option Only,USD,,,64560000,ORD201611303333,Checkout Confirmation,,/ordercompleted.html
2542857131677531788,Referral,401120,United States,Santa Clara,450560000,2,805,44,20161130,1480529795,PAGE,,1,149000000,152500000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,393000000,ORD201611303333,Checkout Confirmation,,/ordercompleted.html
